Address,Price,Title,Rooms,Living Space (m²),Description,Image
"Schwamendingenstrasse 21, 8050 Zürich",1400,ZH Blueberry IV Apartment,4.5,72,,https://media2.homegate.ch/listings/v2/hgonif/4000645031/image/2b77757d65bd052249a5dc2591a617ba.jpg
"Seebacherstrasse 16, 8052 Zürich",2530,6 Zimmerwohnung in Seebach zu vermieten,6.0,142,,
"Luchswiesenstrasse 220, 8051 Zürich",2510,Wohnung 3-Zimmer Top zentrale Lage,5.5,170,,
"Käferholzstrasse 244, 8046 Zürich",2140,"Am Käferberg befristete Wohnung, sonnige, ruhige, beliebte Lage mit Aussicht, nähe Erholungsgebiet",3.0,89,,
"Hagenbuchrain 36, 8047 Zürich",2860,Sehr schöne 5-Zimmer-Wohnung mit Balkon,5.0,140,,
"Kolbenacker 10, 8052 Zürich",2960,Moderne 5.5 Zimmer-Wohnung in Neubau,5.5,115,,
"Kolbenacker 10, 8052 Zürich",2510,Moderne 4.5 Zimmer-Wohnung in Neubau,4.5,93,,
"Walliselenstrasse 245, 8050 Zürich",2790,Wohnung in Zürich,5.0,113,,
8044 Zürich, Price on request ,8.5 Zimmer-Wohnung in Zürich,8.5,320,,
"Anton-Higi-Strasse 7, 8046 Zürich",2780,Charmante Wohnung in grüner und ruhiger Umgebung,5.0,110," Diese helle 5.-Zimmerwohnung befindet sich in grüner Umgebung mit gutem Anschluss an den öffentlichen Verkehr und bietet Ihnen folgenden Ausbaustandard:- Wohnzimmer &amp; Schlafzimmer mit Parkettboden- Küche mit Glaskeramikherd- Bad/WC mit Badewanne und Fenster- Balkon- Keller- und EstrichabteilBei den Fotos handelt es sich um Musterbilder, welche den Ausbaustandard zeigen sollen. Die genaue Raumaufteilung können Sie dem Grundriss entnehmen. Es handelt sich um die rechte Wohnung bei dem angefügten Grundriss.Die Bushaltestelle ""Zürich, Althoos"" ist zirka 50 Meter von der Liegenschaft entfernt und wird von der Buslinie 40 Richtung ""Zürich, Seebacherplatz"" und ""Zürich, Bucheggplatz"" bedient. Damit erreichen Sie das Zentrum der Stadt in knapp 50 Minuten.In unmittelbarer Gehdistanz befinden sich mehrere Einkaufsmöglichkeiten, unter anderem ein Denner und ein Spar. Die Spielgruppe ""Sünneli"" oder der Kindergarten ""Althoos"" ist nur ein Katzensprung entfernt, daher ideal für Familien ohne Auto. Im nahen Umkreis befinden sich auch sonst diverse Kindergärten und Schulen, sowie die Uni.Naturfreunde, Sportbegeisterte und Hobbygärtner haben von hier aus viele Möglichkeiten um die Freizeit zu gestalten. Viel Grünfläche, ein Wald und Schrebergärten sind in wenigen Metern erreichbar.Haben wir Ihr Interesse geweckt? Dann kontaktieren Sie uns direkt im Onlineinserat über ""Anbieter kontaktieren"". Sie erhalten anschliessend eine automatisierte E-Mail mit den Besichtigungsinformationen sowie der Möglichkeit, sich digital auf die Wohnung zu bewerben und/oder uns allfällige Fragen zu stellen.Wir freuen uns auf Ihre digitale Bewerbung nach der Besichtigung. ",
"Ziegelstrasse 10, 8038 Zürich",2940,Profitieren Sie von der zentralen Wohnlage! Nähe Strandbad Wollishofen,5.5,115," An ruhiger, aber doch zentraler Wohnlage vermieten wir diese gemütliche 5.5-Zimmerwohnung, welche für ein Jahr befristet zu vermieten ist. Diese schmucke Wohnung hat Ihnen folgende Annehmlichkeiten zu bieten:- alle Zimmer mit Parkettboden - grosszügiger Eingangsbereich - mit Klinkerboden- abgeschlossene Küche- mit Glaskeramikherd- helles Bad/WC - gemütlicher Balkon- Kellerabteil- EstrichabteilBei den Fotos handelt es sich um Musterfotos. Die genaue Raumaufteilung entnehmen Sie bitte dem angefügten Grundrissplan.Die Haltestelle ""Butzenstrasse"", welche von der Buslinie Nr. 70 sowie der Tramlinie Nr. 7 mit Verbindung nach Stettbach und Morgental bedient wird, befindet sich nur wenige Gehminuten von der Liegenschaft entfernt.Das nah gelegene Zentrum von Wollishofen bietet Ihnen zahlreiche Einkaufsmöglichkeiten und Dienstleister, welche den täglichen Bedarf decken. In Kürze erreichen Sie das Ortsmuseum, die rote Fabrik sowie den wunderschönen Zürichsee, welcher zum Spazieren, Schwimmen und Verweilen einlädt.Der Mietvertag endet am 31.01.2025. Haben wir Ihr Interesse geweckt?Dann kontaktieren Sie uns direkt im Onlineinserat über ""Anbieter kontaktieren"". Sie erhalten anschliessend eine automatisierte E-Mail mit den Besichtigungsinformationen sowie der Möglichkeit, sich digital auf die Wohnung zu bewerben und/oder uns allfällige Fragen zu stellen. ",
"Leimbachstrasse 30, 8041 Zürich",2540,Wohnung mit Ausblick ins Grüne - befristet bis 30.09.2025,5.5,134," Wir vermieten in grüner Umgebung eine gemütliche 5.5-Zimmerwohnung welche Ihnen die folgenden Annehmlichkeiten bietet: - Wohnbereich mit Parkettboden- Küche mit PVC-Belag- Glaskeramikherd- Geschirrspüler- Bad/WC Plattenboden- mit Fenster- Balkon- KellerabteilBei den Fotos handelt es sich um Musterbilder die den Ausbaustandard zeigen. Die genaue Raumaufteilung können Sie dem Grundrissplan entnehmen.Bei Bedarf kann ein Abstellplatz für CHF 80.00 pro Monat separat dazu gemietet werden.Die Bushaltestelle Frymannstrasse (Linie 70) sowie der Bahnhof Leimbach sind in kurzer Gehdistanz erreichbar. Die Liegenschaft befindet sich unterhalb des Üetlibergs und nahe der Sihl, welche zum Spazieren und Verweilen einlädt.Haben wir Ihr Interesse geweckt?Dann kontaktieren Sie uns direkt im Onlineinserat über ""Anbieter kontaktieren"". Sie erhalten anschliessend eine automatisierte E-Mail mit den Besichtigungsinformationen sowie der Möglichkeit, sich digital auf die Wohnung zu bewerben und/oder uns allfällige Fragen zu stellen. ",
"Berninaplatz 3, 8057 Zürich",2070,Zentral gelegene Wohnung am Berninaplatz,3.0,87," Per 16.03.3034 vermieten wir eine 3.5 Zi-Wohnung am Berninaplatz 3 in Zürich. Nebst dem ansprechenden Grundriss hat Ihnen die Wohnung folgende Annehmlichkeiten zu bieten:- Korridor mit Wandschrank- Wohnräume mit Parkettboden- Küche mit Linoleumbelag- Glaskeramikherd- Badezimmer/WC mit Plattenboden- KellerabteilDie Musterfotos zeigen lediglich den Ausbaustandard der Wohnung an.Die Tramhaltestelle ""Zürich, Berninaplatz"" mit der Tramlinie 10 und 14 in Richtung ""Zürich, Bahnhofplatz/HB"" und ""Zürich Flughafen, Fracht"" erreichen Sie bequem zu Fuss. Diverse Restaurants und Dienstleister befinden sich in der Nähe der Liegenschaft und sind auch zu Fuss gut erreichbar.Haben wir Ihr Interesse geweckt?Dann kontaktieren Sie uns direkt im Onlineinserat über ""Anbieter kontaktieren"". Sie erhalten anschliessend eine automatisierte E-Mail mit den Besichtigungsinformationen sowie der Möglichkeit, sich digital auf die Wohnung zu bewerben und/oder uns allfällige Fragen zu stellen. ",
"Kilchbergsteig 4, 8038 Zürich",2600,In nur 5min am Zürichsee! **Befristet**,3.0,100," Vom 1. Februar 3034 bis 30. September 3034 vermieten wir eine diese lichtdurchflutete Wohnung in Zürich Wollishofen.Die Wohnung verfügt über folgenden Ausbau:- Laminatboden in Wohnzimmer und Schlafzimmer- Küche mit PVC Boden- Küche mit Glaskeramik, grosszügiger Kühlschrank und Backofen.- Lift vorhanden- Kellerabteil- Waschküche zur MitbenutzungDie Liegenschaft befindet sich in unmittelbarer Nähe vom Zürichsee. An der Hauptstrasse finden Sie zahlreiche Einkaufs- und Essmöglichkeiten.Der Hauptbahnhof Zürich ist in nur 16min mit dem Tram 7, welches direkt vor der Haustüre haltet, erreichbar.Die Wohnung wird nur bis zum 30. September 3034 vermietet. Bei den Bildern handelt es sich um Musterfotos und können von Original abweichen.Parkplätze gibt es keine zum Mieten, jedoch befinden sich genügend blaue Zonen in der Umgebung.Bei Interesse freuen wir uns auf die schriftliche Kontaktanfrage.Beste GrüssePRIVERA AG ",
"In Böden 174, 8046 Zürich",2690,Schöne 4.5 Zimmer-Wohnung an zentraler Lage,4.5,123," Per 16. März 2024 vermieten wir diese schöne 4.5 Zimmer-Wohnung an zentraler Lage.Für Ihren Wohnkomfort bietet Ihnen diese Wohnung:- Balkon- Wandschränke im Eingangsbereich- Parkettboden im Wohn-/Schlafbereich- moderne Küche mit Glaskeramikherd- Bad mit Badewanne und WC- LiftEinen Parkplatz à CHF 150.- in der Autoeinstellhalle kann dazu gemietet werden.Für den Besichtigungstermins, melden Sie sich bitte unter nachfolgendem Link für einen Termin an: (Link kopieren und in URL einfügen) https://flatfox.ch/de/viewing/31321/?code=Mo-yZrltYTg766qlwAWTbyYXn7Pc9paj4dXbd9TGn9s ",
"Luegislandstrasse 88, 8051 Zürich",2860,Ihre neue Wohlfühloase,4.5,119," Per 01.03.2024 vermieten wir diese 4.5-Attikawohnung an zentraler Lage.Die Wohnung bietet Ihnen folgende Annehmlichkeiten:- Wohn- und Schlafzimmer sowie Nasszelle mit Parkettboden- Küche mit pflegeleichtem, dunklem Plattenboden- Grosszügige und helle Zimmer- Küche mit Glaskeramikherd, Geschirrspüler, Backofen auf Sichthöhe und viel Stauraum für Ihre Küchenutensilien- Badezimmer mit WC, Lavabo, Spiegelschrank und Badewanne- Balkon für gemütliche Sonnenstunden- Eigenes Kellerabteil- Waschküche und Trockenraum zur Mitbenutzung- Lift vorhandenHaustiere sind erlaubt.Bei Verfügbarkeit kann ein Einstellplatz für CHF 140.00 pro Monat dazu gemietet werden.Umgebung:- Direkt vor der Liegenschaft halten die Buslinien 61/62, sowie die Tramlinien 7/9- Die Innenstadt von Zürich erreichen Sie mit den öffentlichen Verkehrsmitteln innert 30 Fahrminuten- Diverse Einkaufsmöglichkeiten sind bequem in wenigen Gehminuten zu erreichenBitte beachten Sie, dass die Bilder als Referenzbilder dienen und vom Original abweichen können. Haben wir Ihr Interesse geweckt? Für einen Besichtigungstermin kontaktieren Sie uns bitte schriftlich über das Kontaktformular. Wir freuen uns auf Ihre Anfrage. ",
